tag,samples,units,mae,rmse,r2,mean_true_rul,mean_pred_rul
FD001,17731.0,100.0,23.89744176865377,34.89800334294872,0.6823667208884288,94.15064012182054,94.78297219558964
FD002,46219.0,260.0,25.25317272117528,35.271148525079205,0.6787910438562546,94.51480992665354,98.13614249551051
FD004,54028.0,249.0,33.648224994447325,48.956011965843004,0.6562441100834688,120.25773672910343,118.81874805656327
FD003,21820.0,100.0,35.77588588450963,55.571206021258845,0.6467225551153246,125.56759853345555,122.59168698441798
