tag,samples,units,mae,rmse,r2,mean_true_rul,mean_pred_rul
FD001,17731.0,100.0,23.026306254012177,33.80868512653695,0.7018866673176911,94.15064012182054,95.31853485107422
FD002,46219.0,260.0,24.660977581858663,34.964984993341716,0.6843432105608538,94.51480992665354,97.1865005493164
FD004,54028.0,249.0,33.38495309339459,48.17862223221001,0.6670746721006855,120.25773672910343,121.9315414428711
FD003,21820.0,100.0,33.527014635223296,51.517387388217415,0.696384508197989,125.56759853345555,121.4586410522461
