tag,samples,units,mae,rmse,r2,mean_true_rul,mean_pred_rul
FD002,46219.0,260.0,28.68847210143554,36.72949826199726,0.6516799819933454,94.51480992665354,100.65208887481185
FD001,17731.0,100.0,29.90357431363291,37.713293351726584,0.6290513825238672,94.15064012182054,103.5407698361538
FD004,54028.0,249.0,38.09399060420748,52.79151102401188,0.600270436698858,120.25773672910343,114.73823678977129
FD003,21820.0,100.0,44.09081620058965,61.391300803104656,0.5688484638745105,125.56759853345555,117.12669956881624
